Дата публикации;Статус;ФЗ;Проект;Способ закупки;URL;Организатор;ИНН;Менеджер компании;СМП;Название;Комментарий;ПО, Бренд;ПО, шт;Терминал, Бренд;БТ, шт;Видео, бренд;Видео, шт;ДУТ, Бренд;ДУТ, шт;Регион;Сделок в АМО;Участники;Победитель
26 сентября 2025 г.;Не участвуем;ГК;СМТ;Запрос котировок;https://www.rts-tender.ru/poisk/id/l13650641-3-9-1/;"БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ХАНТЫ-МАНСИЙСКОГО АВТОНОМНОГО ОКРУГА - ЮГРЫ ""НИЖНЕВАРТОВСКАЯ ОКРУЖНАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА""";8603005902;;Нет;Оказание услуг по обслуживанию системы мониторинга транспорта;;Общие требования;17;;;;;;;Ханты-Мансийский Автономный округ - Югра АО;;;
26 сентября 2025 г.;Не участвуем;ГК;СМТ;Запрос котировок;https://www.tektorg.ru/market/procedures/16309688;"Акционерное Общество ""Самаранефтегаз""";6315229162;Миронов М.;Нет;Оказание услуг по диспетчерскому обслуживанию оборудования бортовых систем мониторинга транспортных средств (БСМТС);"дилер системы Автограф, представитель АО ""Глонасс""";Техноком;24;;;;;;;Самарская область;1;;
26 сентября 2025 г.;Не участвуем;ГК;СМТ;Мониторинг цен;https://www.fabrikant.ru/trades/atom/PriceMonitoring/?action=view&id=901630;"ОАО ""УЭХК""";6629022962;Продажи SKAI;Нет;Предоставление права использования подписки на обновления программы АВТОГРАФ;Лицензии Автограф;Техноком;10;;;;;;;Свердловская область;1;;
26 сентября 2025 г.;Не участвуем;СНГ;СМТ;Закуп открытым способом;https://reestr.nadloc.kz/ru/foreignprotocol/get/UlZCUFVsUXVNakF5TlM3UW50Q2FMVGMwTURFeg==?status=1;"АО ""Шубарколь Комир""";020740000236;;Нет;"Установка системы предупреждающей подсветки для визуального определения
периметра работы экскаваторов (ШК)";129 комплектов (подсветка Red Kill Zone). Найдено по просьбе менеджера;;;;;;;;;Республика Казахстан;;;
29 сентября 2025 г.;Не пошли;СНГ;СМТ;Запрос предложений;https://mp.kz/tender/243622;Bereke Bank (дочерний банк Lesha Bank LLC (Public));930740000137;;Нет;"Лот 243622 ""Запрос ценовых предложений по выбору поставщика на оказание услуг по установке GPS трекеров на транспортные средства и спутниковому мониторингу транспортных средств для АО «Bereke Bank» (дб Lesha Bank LLC (Public)) по РК""";количество тс не указано. Карточка тендера. Нет ответа на запрос по контактам, отказ ДФП_КЗХ;Общие требования;1;Общие требования;1;;;;;Республика Казхастан;;;
29 сентября 2025 г.;Не участвуем;223;СМТ;Запрос котировок;https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=18824794;ФГБНУ ВНИИ КУКУРУЗЫ;2632017475;;Да;Оказание услуг по поставке, монтажу, настройке и обеспечению функционирования системы мониторинга автомобильного транспорта ФГБНУ ВНИИ кукурузы;Монтжи;Общие требования;76;Общие требования;33;;;Общие требования;41;Ставропольский край;;;
29 сентября 2025 г.;Не участвуем;44;СМТ;Запрос котировок;https://zakupki.gov.ru/epz/order/notice/zk20/view/common-info.html?regNumber=0328300068925000245;"ГБУЗ ВО ""АРБ""";3301000899;;Да;Оказание комплексных услуг по передаче навигационных данных и техническому сопровождению навигационно-информационной системы мониторинга и управления транспортом для нужд ГБУЗ ВО «АРБ»;Установлены Навтелеком, Умка, Омникомм, М2М;Общие требования;63;;;;;;;Владимирская область;;;
29 сентября 2025 г.;Не участвуем;44;СМТ;Электронный аукцион;https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0348200080425000187;"ГКУ МО ""МОСОБЛПОЖСПАС""";5027130077;;Да;Оказание услуг по техническому обслуживанию бортового навигационно-связного оборудования, установленного на транспортных средствах Государственного казенного учреждения Московской области «Московская областная противопожарно-спасательная служба»;"Сервисные работы; всего 986 ед. Тс";;;;;;;;;Московская область;;;
29 сентября 2025 г.;Проиграно;СНГ;ВА;Запрос коммерческих предложений;по эл. почте SHarafievaGT@ solidcore-resources.kz;ТОО «Бакырчикское горнодобывающее предприятие»;930740000137;;Нет;Оказание услуг по установке системы контроля усталости водителя согласно Тех. заданию;Договор НИОКР, отсутствуют документы запрашиваемые заказчиком, невыполнение требований по ТБ. Талгат с Абылаем будут прорабатывать заказчика;Общие требования;40;;;Общие требования;40;;;Республика Казхастан;;ТОО СТМ, скрыто;Скрыто
30 сентября 2025 г.;Не участвуем;223;СМТ;Конкурс;https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=18830487;"ООО ""ТВЕРЬ ВОДОКАНАЛ""";6901093516;;Да;Оказание услуг по техническому и сервисному обслуживанию системы мониторинга транспорта «Omnicomm» для нужд ООО «Тверь Водоканал»;"Терминалы Омникомм, Умка, навтелеком; ДУТ Омникомм, Италон, Эскорт";Омникомм;110;Общие требования;110;;;Омникомм;51;Тверская область;1;;
30 сентября 2025 г.;Не участвуем;44;СМТ;Запрос котировок;https://zakupki.gov.ru/epz/order/notice/zk20/view/common-info.html?regNumber=0848300047225000883;"МКУ ""КЦТ""";5024155700;;Да;Оказание услуг по техническому обслуживанию и ремонту оборудования системы мониторинга ГЛОНАСС на 2026 год;"сервис оборудования; всего тс 247 ед.";;;Навтелеком;1;;;Эскорт;1;Московская область;;;
